College Name,City,Branch,Category,Cutoff
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,80.56
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,92.46
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,77.01
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,25.47
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,20.28
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,7.99
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,10.77
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,51.7
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,52.18
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,52.88
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,29.41
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,63.2
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,58.44
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,59.18
"01002 - Government College of Engineering, Amravati",Amravati,Oil and Paints Technology,OPEN,13.31
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,22.03
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,25.21
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,45.83
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,1.09
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,31.92
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,17.24
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,68.38
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,24.7
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,19.45
"01002 - Government College of Engineering, Amravati",Amravati,Paper and Pulp Technology,OPEN,19.08
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,49.73
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,47.8
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,39.36
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,70.75
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,62.06
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,39.36
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,79.89
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,71.1
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,79.6
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,73.26
"01002 - Government College of Engineering, Amravati",Amravati,Petro Chemical Engineering,OPEN,5.71
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,73.44
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,61.68
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,41.45
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,69.33
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,64.26
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,56.29
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,70.51
