College Code,College Name,Choice Code,Course Name,Stage,Category,Cutoff Rank,Percentile,City
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,GNT1S,31138,90.8833776,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,GNT2S,17913,94.8202997,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,GOBCS,18719,94.5862876,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,GSEBCS,30507,91.0510720,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,LOPENS,18397,94.7159159,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,LSCS,37791,88.7823852,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,LSTS,72278,77.9513058,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,LVJS,35169,89.6700597,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,LNT2S,32000,90.6332693,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,LNT3S,41415,87.7785554,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,LOBCS,18895,94.5372821,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,LSEBCS,29991,91.2776413,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,PWDOPENS,149070,43.6588740,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,PWDOBCS,182725,21.3037657,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,DEFOPENS,40691,87.9289094,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,DEFOBCS,58925,82.1358690,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,TFWS,18894,94.5372821,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,PWDROBC,165828,32.6791073,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,S,52275,84.3296195,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,DEFRSEBC,159747,37.1950556,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,S,35492,89.5355262,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,GOPENS,45626,86.4120225,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,GSCS,64794,80.3531469,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,GSTS,190208,14.3147873,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,GVJS,78201,75.6075065,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,GNT2S,56802,82.8437868,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,GNT3S,51152,84.6429815,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,GOBCS,50313,84.9728618,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,GSEBCS,65579,79.9809712,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,LOPENS,40999,87.9235179,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,LSCS,66067,79.8919296,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,LSTS,87240,72.3760958,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,LNT1S,42330,87.4115391,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,LOBCS,58460,82.3322294,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,LSEBCS,99619,67.8236662,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,DEFOPENS,38374,88.6801020,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,I,TFWS,105120,65.5190641,Amravati
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,II,GOPENS,196674,8.3381964,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GOPENH,23654,93.6155480,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GSCH,37414,89.7377897,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GNT2H,47495,86.8241565,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GOBCH,24342,93.4485531,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,LOPENH,8634,97.6779266,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,LOBCH,25406,93.1151448,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GSTH,53836,85.0232092,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GOPENO,4917,98.6379064,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GSCO,39936,89.0432875,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GVJO,82501,75.8886529,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GNT1O,46985,86.9908896,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,GSEBCO,68655,80.5600214,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,LOPENO,27666,92.4619674,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,I,EWS,79514,77.0149774,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,GOPENH,176548,25.4741362,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,GVJH,183458,20.2849168,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,GOBCH,196887,7.9877752,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,GSEBCH,194449,10.7725189,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,LOPENH,134313,51.7009371,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,GSCH,133905,52.1817116,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,GOBCH,132477,52.8806012,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,II,GSCH,171006,29.4125763,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,GOPENO,110594,63.2000580,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,GOBCO,120840,58.4401523,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,TFWS,119043,59.1762367,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,I,EWS,191349,13.3124347,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,I,GOPENH,181659,22.0346747,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,I,LOPENH,177217,25.2088452,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,I,GOPENH,146086,45.8266058,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,I,GSCH,203034,1.0874687,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,I,GOBCH,169379,31.9226076,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,II,GOPENH,187138,17.2365618,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,I,GOPENO,98098,68.3753318,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,I,LOPENO,178715,24.6987745,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,II,GOPENO,184089,19.4484962,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,I,LSCO,185040,19.0847282,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,GOPENH,138268,49.7291102,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,GSCH,141682,47.8015007,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,GOBCH,156837,39.3601986,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,LOPENH,91401,70.7504568,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,LSCH,112652,62.0615406,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,GSEBCH,156903,39.3601986,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,GOPENO,66017,79.8919296,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,GNT3O,91290,71.0971787,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,GOBCO,67494,79.6033896,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,TFWS,85124,73.2612864,Amravati
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,I,EWS,199181,5.7122954,Amravati
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GOPENH,85001,73.4354379,Yavatmal
